id,name,brewery_type,city,state_province,country,latitude,longitude
5bacfaa1-8019-431f-8e45-a7a999fa5871,Mill Whistle Brewing,micro,Beaufort,North Carolina,United States,34.71738799,-76.65042934
c240ef6b-1834-4be5-815d-7246abfcee05,Millcreek Brewing Company,brewpub,Erie,Pennsylvania,United States,42.029976,-80.3312655
c6d5739a-7f19-404c-a561-009c384535d5,Millennial Brewing Company,micro,Fort Myers,Florida,United States,26.6429182,-81.8643461
5418e274-79d7-436c-a772-df99b4fd26ce,MillerCoors Brewing Co - Albany,large,Albany,Georgia,United States,31.58549343,-84.08203126
b79c9be7-524c-413c-ba52-575944037985,MillerCoors Brewing Co - Fort Worth,large,Fort Worth,Texas,United States,32.6411318,-97.3194181
e58e3205-d7d2-4a33-b4c4-c5bbdaca6d88,MillerCoors Brewing Co - Golden,large,Golden,Colorado,United States,39.759495,-105.219592
bc3fa044-4efc-4fa3-aa78-de5bdc12a930,MillerCoors Brewing Co - Irwindale,large,Irwindale,California,United States,34.12577411,-117.9396681
083550ee-a87a-40d1-bba1-7aeab8ace401,MillerCoors Brewing Co - Milwaukee,large,Milwaukee,Wisconsin,United States,43.04207981,-87.96633679
b667f592-f199-4e32-b401-0b296a447bde,MillerCoors Brewing Co - Shenandoah Facility,large,Elkton,Virginia,United States,38.35777975,-78.68239615
11b078bc-1356-418c-b59e-544845f135b2,MillerCoors Brewing Co - Trenton,large,Trenton,Ohio,United States,39.45673615,-84.48297139
215e7463-7bd6-446f-b20a-b7b9f55bbc09,Millersburg Brewing,brewpub,Millersburg,Ohio,United States,40.55424322,-81.91677867
b34ab21b-7046-4944-9867-bfb8f2fa2d40,Millstone Pizza Company & Brewery - Cody,brewpub,Cody,Wyoming,United States,44.52986311317217,-109.04939104878524
bcf1034e-3ee7-4728-b8ea-082d07079881,Millstone Pizza Company & Brewery - Powell,brewpub,Powell,Wyoming,United States,44.75290949678925,-108.75705908665373
ba4811a2-f65a-4295-b420-e7750a42fc1f,Millstream Brewing Co,brewpub,Amana,Iowa,United States,41.7949318,-91.86527265
76361282-e0b2-47bb-a34e-4141bfd84144,Millwood Brewing Company,micro,Spokane,Washington,United States,47.68541108,-117.283755
aa3d493d-936c-4798-beb1-ea4491de99ac,Millyard Brewing,closed,Nashua,New Hampshire,United States,42.7544214,-71.45988189
b9875d8a-6efc-49e5-ae7a-87146be3d872,Milton's Brewing,micro,Carlsbad,New Mexico,United States,32.42061065,-104.2256158
71aff9bc-61b0-46b6-b7bc-b123c120f170,Milwaukee Brewing Co - Production facility,micro,Milwaukee,Wisconsin,United States,43.02500965,-87.91303682
37e2d21b-cd0d-4e31-90e7-be86149ec9bf,Milwaukee Brewing Company,micro,Milwaukee,Wisconsin,United States,43.02500965,-87.91303682
20aad2db-4ce7-42b7-9a72-c2d4c2b833da,Milwaukee Premium Brewing Co,contract,Glendale,Wisconsin,United States,43.13845743,-87.9486093
8db4719d-962f-4e0c-a20d-943f062203e7,Mindful Brewing Company,brewpub,Castle Shannon,Pennsylvania,United States,40.36441782,-80.02163298
48bf3d71-82d6-4fec-a193-8782e5b3d5b9,Miner Brewing Co,brewpub,Hill City,South Dakota,United States,43.94871384,-103.5224249
37884fdf-65bc-480f-ba9a-3f556fa5081a,Miner Brewing Co,brewpub,Sioux Falls,South Dakota,United States,43.51296253,-96.75352318
aeae3b6e-3355-44f7-8e03-0d9a36a56d48,Miner’s Gold,micro,Beaconsfield,TAS,Australia,-41.2014188,146.8142524
3897f010-db31-4b2d-9373-4756987f5b5f,Miners Alley Brewing Company,brewpub,Oroville,California,United States,39.51414912,-121.5549792
7e26b37a-fa1d-4acf-8095-ae9c540098f1,Minglewood Brewery,brewpub,Cape Girardeau,Missouri,United States,37.30583636,-89.51852096
b3731fa3-236f-46f9-bc36-d3556d32b4d1,Minhas Craft Brewery,regional,Monroe,Wisconsin,United States,42.59863051,-89.641509
087974c8-a0fb-4f21-9905-06ef4bb902e4,Minibrowar Spiż,brewpub,Wrocław,dolnośląskie,Poland,51.1100309,17.0312678
6df8ee9c-596f-47ad-a4dc-2dc59ac57c66,Ministry of Beer,micro,Lyndoch,SA,Australia,-34.6015664,138.8912853
655b93f8-9108-460a-a33d-5b418b62f42c,Minneapolis Town Hall Brewery,brewpub,Minneapolis,Minnesota,United States,44.9733314,-93.247714
699c24ab-d73d-49b1-824e-8be49e919c19,MINOH BEER WAREHOUSE,brewpub,Minoh,Osaka,Japan,34.82355132,135.4730884
61941d44-a720-4174-a694-d6a438895f75,Mirage Beer Co,proprietor,Seattle,Washington,United States,47.66496474,-122.3703933
ab6b4d55-6c25-46a6-a080-9b6376fe26c4,Mirror Twin Brewing,brewpub,Lexington,Kentucky,United States,38.04042235,-84.4784656
0f66c4e9-7284-4ffa-ad98-7d20ad393412,Mishap! Brewing Company,closed,Buffalo,Wyoming,United States,44.34570009,-106.6985012
bae421ad-41a3-48f8-aef4-536f3accc455,Mismatch Brewing Co,micro,Adelaide,SA,Australia,-34.931714,138.5938151
132199d7-65f1-4362-8baf-abaab4763334,Mismatch Brewing Co.,micro,Adelaide,SA,Australia,-34.931714,138.5938151
8978b04f-52e6-4930-9960-0f78ae143c9c,Mispillion River Brewing,micro,Milford,Delaware,United States,38.93078885,-75.45083871
4791280b-8d59-4ae5-9bd4-36911124cb09,Missing Link Brewery Ltd,taproom,East Grinstead,West Sussex,England,51.079995,-0.070719
a5fb1cc5-cdcd-4b4e-ab3b-dd0ecc74d1cc,Missing Mountain Brewing Company,brewpub,Cuyahoga Falls,Ohio,United States,41.14838453,-81.46928097
0e8aa3fe-40d6-4d55-8d2f-2a3348f14421,Mission Brewery,micro,San Diego,California,United States,32.6220746,-117.0682152
ab98ee50-5473-4933-83e7-8cc6645fd0c5,Missoula Brewing Company,brewpub,Missoula,Montana,United States,46.90454835,-114.0433078
a1274517-d0af-4c1b-8b7b-2ec4662d2681,Missouri Beer Company,micro,O Fallon,Missouri,United States,38.805938,-90.75261
bdb7f3a3-e8fb-46ca-a28c-9ff8b6ef345b,Missouri Breaks Brewing,micro,Wolf Point,Montana,United States,48.09013004,-105.6421748
e6c27506-2269-4b6e-bad9-6b9e2c16a1da,Mistress Brewing Company,micro,Ankeny,Iowa,United States,41.74780209,-93.60151181
2519c182-f15e-47cc-9d2a-4291dfa134bc,Misty Mountain Brewery,brewpub,Brookings,Oregon,United States,42.05228881,-124.2824159
11fe95a9-6086-4e9f-bc72-a6a05468b97b,Mitta Mitta Brewing Co.,micro,Mitta Mitta,VIC,Australia,-36.5192451,147.3715972
01812623-d7f6-46db-80fa-b50dbea7db36,Mitten Brewing Co - Northport,brewpub,Northport,Michigan,United States,45.129833,-85.61801909
f77c9b88-94ee-4033-a93c-4d32f09f155d,Moab Brewery,micro,Moab,Utah,United States,38.56263,-109.549606
dfe6e726-9bba-4653-8dcc-c8ec944baa1c,Moat Mountain Smoke House and Brewing Co,brewpub,North Conway,New Hampshire,United States,44.06850015,-71.14358535
f2d6ec98-b9b1-448c-948a-93bd0e8a3528,MobCraft Beer,proprietor,Milwaukee,Wisconsin,United States,43.02618384,-87.91693739
93025041-59f2-44a9-8a2b-bec7c74c158b,Moby Dick Brewing Co.,brewpub,New Bedford,Massachusetts,United States,41.63382101,-70.92251325
dc6da585-1369-4b60-b00a-e39dffed1dd9,Mockery Brewing,micro,Denver,Colorado,United States,39.7712389,-104.9797349
73878a6f-9d44-49b4-a0b1-31ea0a115e20,Moderation Brewing,micro,Brunswick,Maine,United States,43.91631921,-69.96566833
5895ab5b-ba99-44f5-b9f1-48e332e7f20e,Modern Brewery,micro,Saint Louis,Missouri,United States,38.625149,-90.273784
6794eb82-4607-4730-bd12-4d164deb365f,Modern Times - The Belmont Fermentorium,brewpub,Portland,Oregon,United States,45.516294,-122.6590469
1f33d1c9-74e4-46bb-822e-aebfa1d180b9,Modern Times - The Dankness Dojo,brewpub,San Diego,California,United States,32.754233,-117.206153
ab1d0e1c-87ce-4556-98af-8922c0d380ad,Modern Times Barrel House,micro,San Diego,California,United States,32.75539325,-117.208725
579aa3fb-9386-4a0e-b617-8b4d72cd5075,Modern Times Beer,regional,San Diego,California,United States,32.754233,-117.206153
4c6c6707-77b4-4bb6-bad0-8abfd42ac48e,Modern Times Beer,micro,South Melbourne,VIC,Australia,-37.8305483,144.9629367
b07ee09f-2060-4238-8d2e-b9dbba17da2f,Modestman Brewing,micro,Keene,New Hampshire,United States,42.93427008,-72.27818311
f5d9e0de-18c9-4763-aef9-36d71d6b1bce,Modist Brewing Company,micro,Minneapolis,Minnesota,United States,44.9816901,-93.2708126
5c9636b3-6de7-4779-9a9f-6957df38b805,Modus Operandi Brewing,micro,Mona Vale,NSW,Australia,-33.675873,151.306215
bbd537a3-ccad-4284-88a1-914527d8ed6e,Moeller Brew Barn,micro,Maria Stein,Ohio,United States,40.42144783,-84.49312675
916efcdf-12c7-4c76-9a22-1312ad526e34,Moerlein Lager House,brewpub,Cincinnati,Ohio,United States,39.09630095,-84.50871677
dacc9695-452f-4142-abc5-f1b94b0389af,Moffat Beach Brewing Co.,micro,Moffat Beach,QLD,Australia,-26.7901612,153.1420225
0e095db5-8f35-4e7d-9f41-63579ace5c80,Mogul Brewing,micro,Woolgoolga,NSW,Australia,-30.1241501,153.1919784
87ed7ff9-556b-4b20-aa67-282b4db14fd6,Mohegan Cafe and Brewery,brewpub,Block Island,Rhode Island,United States,43.7594709,-69.32038438
a1eaf419-9ea7-4962-bc8a-bd958d2474a0,Moksa Brewing Co,micro,Rocklin,California,United States,38.78184183,-121.2418299
72e9790d-9d53-4cfd-84a4-9e856ba4f8f2,Moksha Beer,contract,San Jose,California,United States,37.3361905,-121.8905833
40f60211-0a54-4c69-947e-5e88e928e5a4,Mollusk Brewing,brewpub,Seattle,Washington,United States,47.6269357,-122.3425442
93795384-e211-40b3-aa93-7be4d0c83965,Molly Pitcher Brewing Co,micro,Carlisle,Pennsylvania,United States,40.1982144,-77.1890465
a861f29e-917a-42f0-86c3-aa89464d63a6,Molly Rose Brewing Co.,micro,Collingwood,VIC,Australia,-37.7966551,144.9875616
0877aaf4-72b4-4efa-b354-19560ae7c9f2,MoMac Brewing Company,micro,Portsmouth,Virginia,United States,36.86257934,-76.39759141
